yyyy-mm-dd,HH:MM,team1,team2,score1,score2
2009-08-22,00:00,Bologna,Fiorentina,1,1
2009-08-22,00:00,Siena,Milan,1,2
2009-08-23,00:00,Catania,Sampdoria,1,2
2009-08-23,00:00,Genoa,Roma,3,2
2009-08-23,00:00,Inter,Bari,1,1
2009-08-23,00:00,Juventus,Chievo,1,0
2009-08-23,00:00,Lazio,Atalanta,1,0
2009-08-23,00:00,Livorno,Cagliari,0,0
2009-08-23,00:00,Palermo,Napoli,2,1
2009-08-23,00:00,Udinese,Parma,2,2
2009-08-29,00:00,Bari,Bologna,0,0
2009-08-29,00:00,Milan,Inter,0,4
2009-08-30,00:00,Atalanta,Genoa,0,1
2009-08-30,00:00,Cagliari,Siena,1,3
2009-08-30,00:00,Chievo,Lazio,1,2
2009-08-30,00:00,Fiorentina,Palermo,1,0
2009-08-30,00:00,Napoli,Livorno,3,1
2009-08-30,00:00,Parma,Catania,2,1
2009-08-30,00:00,Roma,Juventus,1,3
2009-08-30,00:00,Sampdoria,Udinese,3,1
2009-09-12,00:00,Lazio,Juventus,0,2
2009-09-12,00:00,Livorno,Milan,0,0
2009-09-13,00:00,Atalanta,Sampdoria,0,1
2009-09-13,00:00,Bologna,Chievo,0,2
2009-09-13,00:00,Fiorentina,Cagliari,1,0
2009-09-13,00:00,Genoa,Napoli,4,1
2009-09-13,00:00,Inter,Parma,2,0
2009-09-13,00:00,Palermo,Bari,1,1
2009-09-13,00:00,Siena,Roma,1,2
2009-09-13,00:00,Udinese,Catania,4,2
2009-09-19,00:00,Juventus,Livorno,2,0
2009-09-19,00:00,Napoli,Udinese,0,0
2009-09-20,00:00,Bari,Atalanta,4,1
2009-09-20,00:00,Cagliari,Inter,1,2
2009-09-20,00:00,Catania,Lazio,1,1
2009-09-20,00:00,Chievo,Genoa,3,1
2009-09-20,00:00,Milan,Bologna,1,0
2009-09-20,00:00,Parma,Palermo,1,0
2009-09-20,00:00,Roma,Fiorentina,3,1
2009-09-20,00:00,Sampdoria,Siena,4,1
2009-09-23,00:00,Atalanta,Catania,0,0
2009-09-23,00:00,Bari,Cagliari,0,1
2009-09-23,00:00,Bologna,Livorno,2,0
2009-09-23,00:00,Fiorentina,Sampdoria,2,0
2009-09-23,00:00,Inter,Napoli,3,1
2009-09-23,00:00,Lazio,Parma,1,2
2009-09-23,00:00,Palermo,Roma,3,3
2009-09-23,00:00,Siena,Chievo,0,0
2009-09-23,00:00,Udinese,Milan,1,0
2009-09-24,00:00,Genoa,Juventus,2,2
2009-09-26,00:00,Livorno,Fiorentina,0,1
2009-09-26,00:00,Sampdoria,Inter,1,0
2009-09-27,00:00,Catania,Roma,1,1
2009-09-27,00:00,Chievo,Atalanta,1,1
2009-09-27,00:00,Juventus,Bologna,1,1
2009-09-27,00:00,Lazio,Palermo,1,1
2009-09-27,00:00,Milan,Bari,0,0
2009-09-27,00:00,Napoli,Siena,2,1
2009-09-27,00:00,Parma,Cagliari,0,2
2009-09-27,00:00,Udinese,Genoa,2,0
2009-10-03,00:00,Bari,Catania,0,0
2009-10-03,00:00,Inter,Udinese,2,1
2009-10-04,00:00,Atalanta,Milan,1,1
2009-10-04,00:00,Bologna,Genoa,1,3
2009-10-04,00:00,Cagliari,Chievo,1,2
2009-10-04,00:00,Fiorentina,Lazio,0,0
2009-10-04,00:00,Palermo,Juventus,2,0
2009-10-04,00:00,Roma,Napoli,2,1
2009-10-04,00:00,Sampdoria,Parma,1,1
2009-10-04,00:00,Siena,Livorno,0,0
2009-10-17,00:00,Genoa,Inter,0,5
2009-10-17,00:00,Juventus,Fiorentina,1,1
2009-10-18,00:00,Catania,Cagliari,2,1
2009-10-18,00:00,Chievo,Bari,1,2
2009-10-18,00:00,Lazio,Sampdoria,1,1
2009-10-18,00:00,Livorno,Palermo,1,2
2009-10-18,00:00,Milan,Roma,2,1
2009-10-18,00:00,Napoli,Bologna,2,1
2009-10-18,00:00,Parma,Siena,1,0
2009-10-18,00:00,Udinese,Atalanta,1,3
2009-10-24,00:00,Inter,Catania,2,1
2009-10-24,00:00,Sampdoria,Bologna,4,1
2009-10-25,00:00,Atalanta,Parma,3,1
2009-10-25,00:00,Bari,Lazio,2,0
2009-10-25,00:00,Cagliari,Genoa,3,2
2009-10-25,00:00,Chievo,Milan,1,2
2009-10-25,00:00,Fiorentina,Napoli,0,1
2009-10-25,00:00,Palermo,Udinese,1,0
2009-10-25,00:00,Roma,Livorno,0,1
2009-10-25,00:00,Siena,Juventus,0,1
2009-10-28,00:00,Bologna,Siena,2,1
2009-10-28,00:00,Catania,Chievo,1,2
2009-10-28,00:00,Genoa,Fiorentina,2,1
2009-10-28,00:00,Juventus,Sampdoria,5,1
2009-10-28,00:00,Lazio,Cagliari,0,1
2009-10-28,00:00,Livorno,Atalanta,1,0
2009-10-28,00:00,Napoli,Milan,2,2
2009-10-28,00:00,Parma,Bari,2,0
2009-10-28,00:00,Udinese,Roma,2,1
2009-10-29,00:00,Inter,Palermo,5,3
2009-10-31,00:00,Juventus,Napoli,2,3
2009-10-31,00:00,Milan,Parma,2,0
2009-11-01,00:00,Cagliari,Atalanta,3,0
2009-11-01,00:00,Chievo,Udinese,1,1
2009-11-01,00:00,Fiorentina,Catania,3,1
2009-11-01,00:00,Livorno,Inter,0,2
2009-11-01,00:00,Palermo,Genoa,0,0
2009-11-01,00:00,Roma,Bologna,2,1
2009-11-01,00:00,Sampdoria,Bari,0,0
2009-11-01,00:00,Siena,Lazio,1,1
2009-11-07,00:00,Atalanta,Juventus,2,5
2009-11-07,00:00,Catania,Napoli,0,0
2009-11-08,00:00,Bari,Livorno,1,0
2009-11-08,00:00,Bologna,Palermo,3,1
2009-11-08,00:00,Cagliari,Sampdoria,2,0
2009-11-08,00:00,Genoa,Siena,4,2
2009-11-08,00:00,Inter,Roma,1,1
2009-11-08,00:00,Lazio,Milan,1,2
2009-11-08,00:00,Parma,Chievo,2,0
2009-11-08,00:00,Udinese,Fiorentina,0,1
2009-11-21,00:00,Bologna,Inter,1,3
2009-11-21,00:00,Fiorentina,Parma,2,3
2009-11-22,00:00,Juventus,Udinese,1,0
2009-11-22,00:00,Livorno,Genoa,2,1
2009-11-22,00:00,Milan,Cagliari,4,3
2009-11-22,00:00,Napoli,Lazio,0,0
2009-11-22,00:00,Palermo,Catania,1,1
2009-11-22,00:00,Roma,Bari,3,1
2009-11-22,00:00,Sampdoria,Chievo,2,1
2009-11-22,00:00,Siena,Atalanta,0,2
2009-11-28,00:00,Genoa,Sampdoria,3,0
2009-11-28,00:00,Udinese,Livorno,2,0
2009-11-29,00:00,Atalanta,Roma,1,2
2009-11-29,00:00,Bari,Siena,2,1
2009-11-29,00:00,Cagliari,Juventus,2,0
2009-11-29,00:00,Catania,Milan,0,2
2009-11-29,00:00,Chievo,Palermo,1,0
2009-11-29,00:00,Inter,Fiorentina,1,0
2009-11-29,00:00,Lazio,Bologna,0,0
2009-11-29,00:00,Parma,Napoli,1,1
2009-12-05,00:00,Juventus,Inter,2,1
2009-12-05,00:00,Milan,Sampdoria,3,0
2009-12-06,00:00,Bologna,Udinese,2,1
2009-12-06,00:00,Fiorentina,Atalanta,2,0
2009-12-06,00:00,Genoa,Parma,2,2
2009-12-06,00:00,Livorno,Chievo,0,2
2009-12-06,00:00,Napoli,Bari,3,2
2009-12-06,00:00,Palermo,Cagliari,2,1
2009-12-06,00:00,Roma,Lazio,1,0
2009-12-06,00:00,Siena,Catania,3,2
2009-12-12,00:00,Bari,Juventus,3,1
2009-12-12,00:00,Cagliari,Napoli,3,3
2009-12-13,00:00,Atalanta,Inter,1,1
2009-12-13,00:00,Catania,Livorno,0,1
2009-12-13,00:00,Chievo,Fiorentina,2,1
2009-12-13,00:00,Lazio,Genoa,1,0
2009-12-13,00:00,Milan,Palermo,0,2
2009-12-13,00:00,Parma,Bologna,2,1
2009-12-13,00:00,Sampdoria,Roma,0,0
2009-12-13,00:00,Siena,Udinese,2,1
2009-12-20,00:00,Inter,Lazio,1,0
2009-12-20,00:00,Juventus,Catania,1,2
2009-12-20,00:00,Livorno,Sampdoria,3,1
2009-12-20,00:00,Napoli,Chievo,2,0
2009-12-20,00:00,Palermo,Siena,1,0
2009-12-20,00:00,Roma,Parma,2,0
2010-01-06,00:00,Atalanta,Napoli,0,2
2010-01-06,00:00,Bari,Udinese,2,0
2010-01-06,00:00,Cagliari,Roma,2,2
2010-01-06,00:00,Catania,Bologna,1,0
2010-01-06,00:00,Chievo,Inter,0,1
2010-01-06,00:00,Lazio,Livorno,4,1
2010-01-06,00:00,Milan,Genoa,5,2
2010-01-06,00:00,Parma,Juventus,1,2
